sentence_id,text,polarity,intensity,gua_name,gua_keywords
1,你还记得上次聊天的时候有跟你提到说我的近况，是吧。,0.1,0.65,渐卦（䷴）,渐进、发展、成长
2,我回答说自己还没理清楚。,-0.2,0.7,渐卦（䷴）,渐进、发展、成长
3,其实不只是没那么容易理清楚，更是因为还处在那个阶段，维持生活的稳定已然不易，没有太多的力气去颠覆自己。,-0.35,0.75,困卦（䷮）,困境、束缚、挑战
4,所以对房间里的大象视而不见。,-0.25,0.6,损卦（䷨）,损失、减损、节制
5,当时，我跟男友还是在一起的，处于苦尽甘来之后的稳定阶段。,0.3,0.65,中孚卦（䷼）,诚信、信任、和谐
6,他肯定觉得已经到了一个平稳期之后，就会慢慢越来越平稳，往之后的目标推进。,0.2,0.55,渐卦（䷴）,渐进、发展、成长
7,可我内心知道这段感情要即将结束，因为我没有办法对一些东西视而不见，他应该会觉得比较舒服，在这段关系当中。,-0.4,0.8,困卦（䷮）,困境、束缚、挑战
8,但是，我是知道自己妥协了很多，所以当你去问我的近况的时候，我开始觉得有些东西无法真正说出口，我没有办法真正跟你说。,-0.3,0.7,损卦（䷨）,损失、减损、节制
9,现在感情是好的，稳定的，我对此是抱有希望的。,0.4,0.75,乾卦（䷀）,创造、刚健、进取
10,我当时是一个只能被迫自洽的状态，因为我暂且没有办法去承受我自己深度思考、彻底剖析清楚之后的结果。,-0.25,0.65,损卦（䷨）,损失、减损、节制
11,对于当时我来说，稳定下来已经非常不容易了，我不愿意再节外生枝。,-0.15,0.55,渐卦（䷴）,渐进、发展、成长
12,另外更重要的是，让我和他之间没有办法说分开就分开的原因是我们有了很多的经济牵扯，这是我之前做决定不理智的导致的结果。,-0.3,0.7,损卦（䷨）,损失、减损、节制
13,他当时来找我的时候，身上没有一分钱，所以我就帮他租房子。帮他租手机、相机，还有电脑等等，当时我是也不能说有信心，我就是一场豪赌吧，或者是我觉得对于伴侣，我就应该这么大方。,-0.2,0.6,渐卦（䷴）,渐进、发展、成长
14,我也被一种不甘的心理驱使着，既然这段感情在最开始的半年是我付出消耗的特别多的话，那么我不能够轻易的放对方走。因为这样就会完全是我输的彻底的局面。,-0.35,0.75,困卦（䷮）,困境、束缚、挑战
15,我必须要把这个局面给弄成是对方损失的多，我才能够真的安心，才能够不留遗憾的去离开。,-0.25,0.65,损卦（䷨）,损失、减损、节制
16,另一个方面，也是当时我的状态并不稳定，我觉得你应该能够感受出来，经历过那段状态之后，我对人对事都是存在着一个厚壁的。,-0.3,0.7,损卦（䷨）,损失、减损、节制
17,我并没有把自己真正内心的想法和脆弱，以及自己遭受什么委屈这样说给人听，因为这可能带来不好的后果，所以我都隐藏起来。,-0.4,0.8,困卦（䷮）,困境、束缚、挑战
18,所以我是没有真正的朋友的。所以在那段时期之内，他也勉强成为了稳定我的大后方的这样的角色。,-0.2,0.6,渐卦（䷴）,渐进、发展、成长
19,虽然他担不起这样的职责，可是因为一些主观客观的原因，主观的就是我害怕跟人近距离相处，怕受到伤害。,-0.35,0.75,困卦（䷮）,困境、束缚、挑战
20,客观的原因就是他把我身边的很多能够说真心话的朋友给扼杀了，他会去查手机，我也没有办法那么时刻立刻的就去删掉，也怕一些朋友会找来，所以就少跟朋友去联系了。,-0.4,0.8,困卦（䷮）,困境、束缚、挑战
21,因为这样的原因，所以他只能够成为我的大后方，即使他特别的不够格。,-0.25,0.65,损卦（䷨）,损失、减损、节制
22,所以，他是看似他的地位是稳固的，但我内心知道并不是这样子的。,-0.3,0.7,损卦（䷨）,损失、减损、节制
23,这个分手花了很长的时间。,-0.1,0.5,渐卦（䷴）,渐进、发展、成长
24,我从一开始直到不久以前，我的感情观还是愿意向下兼容的。,0.05,0.45,渐卦（䷴）,渐进、发展、成长
25,刚开始和这个人产生联系，是因为我觉得他给我的感觉，他说话的方式，甚至长相都很像徐振凯，刚好他们都姓徐，刚好又是同样的中专的背景，刚好又气质不凡，所以是我会留意的多了一点。,0.15,0.55,渐卦（䷴）,渐进、发展、成长
26,后来人家比较主动的追求，于是我们就很快速的在一起，我也欣赏他身上为爱情的付出，即使那些是没有必要的。,0.2,0.6,渐卦（䷴）,渐进、发展、成长
27,他感情很丰沛，可能没有我那么丰沛，但是我的感情要么是向外去理解他人的，要么就是深刻剖析自己的。,0.05,0.45,渐卦（䷴）,渐进、发展、成长
28,但是他的感情我完全不知道是从哪里来的，我丝毫搞不清楚为什么，他可以为我去放弃一些重要的东西，但是潜意识告诉我他的冲动是珍贵的，所以我也非常珍惜。,-0.1,0.55,渐卦（䷴）,渐进、发展、成长
29,我也必须承认，那段时间的我非常缺陪伴。,-0.2,0.6,渐卦（䷴）,渐进、发展、成长
30,一方面是我自己把自己孤立了起来，害怕去见到过去的人和事情，因为我怕自己一敞开心扉就会受到伤害。,-0.3,0.7,损卦（䷨）,损失、减损、节制
31,我本身有一个很好的朋友，我告诉他我的事情之后，随口提到说，你觉得我这一年进步了什么？然后他说是原地踏步，甚至还退步了很多，即使那是无心的话，但是也会在某些层面上伤害到我，也让我觉得自己投入的是不值当的。,-0.4,0.8,困卦（䷮）,困境、束缚、挑战
32,所以我很少再和别人去敞开心扉去聊自己受过的挫，以及踩过的坑。我怕遭受到很不好的回应，让我雪上加霜。,-0.35,0.75,困卦（䷮）,困境、束缚、挑战
